symbol,yahoo_ticker,company_name,gics_sector,sector
BDX,BDX,Becton Dickinson,Health Care,استهلاكي
BRK.B,BRK-B,Berkshire Hathaway,Financials,مالي غير مصرفي
BBY,BBY,Best Buy,Consumer Discretionary,استهلاكي
TECH,TECH,Bio-Techne,Health Care,استهلاكي
BIIB,BIIB,Biogen,Health Care,استهلاكي
BLK,BLK,BlackRock,Financials,بنوك
BX,BX,Blackstone Inc.,Financials,بنوك
XYZ,XYZ,"Block, Inc.",Financials,مالي غير مصرفي
BNY,BNY,BNY Mellon,Financials,بنوك
BA,BA,Boeing,Industrials,تصنيع
BKNG,BKNG,Booking Holdings,Consumer Discretionary,استهلاكي
BSX,BSX,Boston Scientific,Health Care,استهلاكي
BMY,BMY,Bristol Myers Squibb,Health Care,استهلاكي
AVGO,AVGO,Broadcom,Information Technology,تكنولوجيا
BR,BR,Broadridge Financial Solutions,Industrials,تصنيع
BRO,BRO,Brown & Brown,Financials,مالي غير مصرفي
BF.B,BF-B,Brown-Forman,Consumer Staples,استهلاكي
BLDR,BLDR,Builders FirstSource,Industrials,تصنيع
BG,BG,Bunge Global,Consumer Staples,استهلاكي
BXP,BXP,"BXP, Inc.",Real Estate,عقاري
CHRW,CHRW,C.H. Robinson,Industrials,تصنيع
CDNS,CDNS,Cadence Design Systems,Information Technology,تكنولوجيا
CPT,CPT,Camden Property Trust,Real Estate,عقاري
CPB,CPB,Campbell's Company (The),Consumer Staples,استهلاكي
COF,COF,Capital One,Financials,مالي غير مصرفي
CAH,CAH,Cardinal Health,Health Care,استهلاكي
CCL,CCL,Carnival Corporation,Consumer Discretionary,استهلاكي
CARR,CARR,Carrier Global,Industrials,تصنيع
CVNA,CVNA,Carvana,Consumer Discretionary,استهلاكي
CASY,CASY,Casey's,Consumer Staples,استهلاكي
CAT,CAT,Caterpillar Inc.,Industrials,تصنيع
CBOE,CBOE,Cboe Global Markets,Financials,مالي غير مصرفي
CBRE,CBRE,CBRE Group,Real Estate,عقاري
CDW,CDW,CDW Corporation,Information Technology,تكنولوجيا
COR,COR,Cencora,Health Care,استهلاكي
CNC,CNC,Centene Corporation,Health Care,استهلاكي
CNP,CNP,CenterPoint Energy,Utilities,تصنيع
CF,CF,CF Industries,Materials,تصنيع
CRL,CRL,Charles River Laboratories,Health Care,استهلاكي
SCHW,SCHW,Charles Schwab Corporation,Financials,بنوك
CHTR,CHTR,Charter Communications,Communication Services,تكنولوجيا
CVX,CVX,Chevron Corporation,Energy,تصنيع
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,استهلاكي
CB,CB,Chubb Limited,Financials,مالي غير مصرفي
CHD,CHD,Church & Dwight,Consumer Staples,استهلاكي
CIEN,CIEN,Ciena,Information Technology,تكنولوجيا
CI,CI,Cigna,Health Care,استهلاكي
CINF,CINF,Cincinnati Financial,Financials,مالي غير مصرفي
CTAS,CTAS,Cintas,Industrials,تصنيع
CSCO,CSCO,Cisco,Information Technology,تكنولوجيا
C,C,Citigroup,Financials,بنوك
CFG,CFG,Citizens Financial Group,Financials,بنوك
CLX,CLX,Clorox,Consumer Staples,استهلاكي
CME,CME,CME Group,Financials,مالي غير مصرفي
CMS,CMS,CMS Energy,Utilities,تصنيع
KO,KO,Coca-Cola Company (The),Consumer Staples,استهلاكي
CTSH,CTSH,Cognizant,Information Technology,تكنولوجيا
COHR,COHR,Coherent Corp.,Information Technology,تكنولوجيا
COIN,COIN,Coinbase,Financials,مالي غير مصرفي
CL,CL,Colgate-Palmolive,Consumer Staples,استهلاكي
CMCSA,CMCSA,Comcast,Communication Services,تكنولوجيا
FIX,FIX,Comfort Systems USA,Industrials,تصنيع
CAG,CAG,Conagra Brands,Consumer Staples,استهلاكي
COP,COP,ConocoPhillips,Energy,تصنيع
ED,ED,Consolidated Edison,Utilities,تصنيع
STZ,STZ,Constellation Brands,Consumer Staples,استهلاكي
CEG,CEG,Constellation Energy,Utilities,تصنيع
COO,COO,Cooper Companies (The),Health Care,استهلاكي
CPRT,CPRT,Copart,Industrials,تصنيع
GLW,GLW,Corning Inc.,Information Technology,تكنولوجيا
CPAY,CPAY,Corpay,Financials,مالي غير مصرفي
CTVA,CTVA,Corteva,Materials,تصنيع
CSGP,CSGP,CoStar Group,Real Estate,عقاري
COST,COST,Costco,Consumer Staples,استهلاكي
CRH,CRH,CRH plc,Materials,تصنيع
CRWD,CRWD,CrowdStrike,Information Technology,تكنولوجيا
CCI,CCI,Crown Castle,Real Estate,عقاري
CSX,CSX,CSX Corporation,Industrials,تصنيع
CMI,CMI,Cummins,Industrials,تصنيع
CVS,CVS,CVS Health,Health Care,استهلاكي
DHR,DHR,Danaher Corporation,Health Care,استهلاكي
DRI,DRI,Darden Restaurants,Consumer Discretionary,استهلاكي
DDOG,DDOG,Datadog,Information Technology,تكنولوجيا
DVA,DVA,DaVita,Health Care,استهلاكي
DECK,DECK,Deckers Brands,Consumer Discretionary,استهلاكي
DE,DE,Deere & Company,Industrials,تصنيع
DELL,DELL,Dell Technologies,Information Technology,تكنولوجيا
DAL,DAL,Delta Air Lines,Industrials,تصنيع
DVN,DVN,Devon Energy,Energy,تصنيع
DXCM,DXCM,Dexcom,Health Care,استهلاكي
FANG,FANG,Diamondback Energy,Energy,تصنيع
DLR,DLR,Digital Realty,Real Estate,عقاري
DG,DG,Dollar General,Consumer Staples,استهلاكي
DLTR,DLTR,Dollar Tree,Consumer Staples,استهلاكي
D,D,Dominion Energy,Utilities,تصنيع
DPZ,DPZ,Domino's,Consumer Discretionary,استهلاكي
DASH,DASH,DoorDash,Consumer Discretionary,استهلاكي
DOV,DOV,Dover Corporation,Industrials,تصنيع
DOW,DOW,Dow Inc.,Materials,تصنيع
DHI,DHI,D. R. Horton,Consumer Discretionary,استهلاكي
DTE,DTE,DTE Energy,Utilities,تصنيع
DUK,DUK,Duke Energy,Utilities,تصنيع
DD,DD,DuPont,Materials,تصنيع
ETN,ETN,Eaton Corporation,Industrials,تصنيع
